arm	method	dataset	quantity	n	min	q25	median	q75	q90	max	mean	recorded
A2_genconf_refbox	vinardo	posebusters	top1_kabsch_rmsd	294.0	0.018	0.469	0.827	1.566	2.312	6.242	1.121	2026-09-24
A4_crossdock	gnina	crossdock	top1_rmsd	199.0	0.28	2.957	9.125	20.961	40.6	74.962	15.234	2026-09-24
A4_crossdock	gnina	crossdock	top5_best_rmsd	199.0	0.28	1.548	6.134	18.251	37.763	72.941	13.072	2026-09-24
A4_crossdock	gnina	crossdock	top1_kabsch_rmsd	199.0	0.019	0.578	1.218	1.876	2.587	3.989	1.322	2026-09-24
A4_crossdock	vina	crossdock	top1_rmsd	197.0	0.347	3.647	8.615	20.6	40.423	75.284	14.988	2026-09-24
A4_crossdock	vina	crossdock	top5_best_rmsd	197.0	0.347	1.988	6.22	18.883	38.478	74.241	13.363	2026-09-24
A4_crossdock	vina	crossdock	top1_kabsch_rmsd	197.0	0.019	0.616	1.215	1.853	2.781	5.669	1.393	2026-09-24
A4_crossdock	vinardo	crossdock	top1_rmsd	197.0	0.312	4.364	9.029	21.368	38.932	75.318	15.273	2026-09-24
A4_crossdock	vinardo	crossdock	top5_best_rmsd	197.0	0.312	1.819	6.502	19.933	37.805	73.878	13.361	2026-09-24
A4_crossdock	vinardo	crossdock	top1_kabsch_rmsd	197.0	0.019	0.558	1.251	1.883	2.895	4.975	1.399	2026-09-24
